Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
68.100.1,True,True,True,1084,774,The American Wing,1968,Cabinet,Cabinet,American,,,,,119,Maker," ",Alexander Roux,1813–1886," ","Roux, Alexander",French,1813      ,1886      ,,(not assigned),https://www.wikidata.org/wiki/Q4719984,ca. 1866,1863,1866,"Rosewood, tulipwood, cherry, poplar, pine",53 3/8 x 73 3/8 x 18 3/8 in. (135.6 x 186.4 x 46.7 cm),"Purchase, The Edgar J. Kaufmann Foundation Gift, 1968",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1084,https://www.wikidata.org/wiki/Q29382884,,"Metropolitan Museum of Art, New York, NY",Men|Women,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467
1994.50,False,True,True,1226,773,The American Wing,1994,Sculpture,Rodman de Kay Gilder,American,,,,,16236,Artist," ",Augustus Saint-Gaudens,"American, Dublin 1848–1907 Cornish, New Hampshire"," ","Saint-Gaudens, Augustus",American,1848      ,1907      ,,http://vocab.getty.edu/page/ulan/500124332,https://www.wikidata.org/wiki/Q770625,"1879, cast probably 1880",1879,1880,Bronze,13 1/2 x 16 7/8 in. (34.3 x 42.9 cm),"Purchase, Morris K. Jesup Fund and Mr. and Mrs. Richard J. Schwartz Gift, 1994",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/1226,https://www.wikidata.org/wiki/Q83560040,,"Metropolitan Museum of Art, New York, NY",Girls|Profiles,http://vocab.getty.edu/page/aat/300247581|http://vocab.getty.edu/page/aat/300123319,https://www.wikidata.org/wiki/Q3031|https://www.wikidata.org/wiki/Q4382010
47.35,False,True,True,1428,752,The American Wing,1947,Card table,Card Table,American,,,,,,,,,,,,,,,,,,1760–90,1760,1790,"Mahogany, white oak, yellow poplar, white pine",27 7/8 x 35 x 17 3/4 in. (70.8 x 88.9 x 45.1 cm),"Purchase, Joseph Pulitzer Bequest, 1947",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1428,https://www.wikidata.org/wiki/Q116372278,,"Metropolitan Museum of Art, New York, NY",,,
27.161,False,True,True,1447,719,The American Wing,1927,Card table,Card table,American,,,,,129,Maker," ",John Townsend,1732–1809," ","Townsend, John",American,1732      ,1809      ,,http://vocab.getty.edu/page/ulan/500062602,https://www.wikidata.org/wiki/Q56006667,ca. 1786,1783,1786,"Mahogany, maple, chestnut, tulip poplar",Closed: 27 1/4 x 33 7/8 x 16 7/8 in. (69.2 x 86 x 42.9 cm),"Egleston Fund, 1927",Made in,Newport,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1447,https://www.wikidata.org/wiki/Q116372215,,"Metropolitan Museum of Art, New York, NY",,,
1974.325,True,True,True,1662,719,The American Wing,1974,Side Chair,Side Chair,American,,,,,20351120351,Maker|Maker,Possibly carved by|Attributed to,Hercules Courtenay|Benjamin Randolph,"American (born England), 1744–1784|American, 1737–1792"," | ","Courtenay, Hercules|Randolph, Benjamin",American|American,1744      |1737      ,1784      |1792      ,|,|http://vocab.getty.edu/page/ulan/500084141,|https://www.wikidata.org/wiki/Q16859499,ca. 1769,1764,1774,"Mahogany, northern white cedar",37 x 22 1/2 x 23 in. (94 x 57.2 x 58.4 cm),"Purchase, Sansbury-Mills and Rogers Funds, Emily Crane Chadbourne Gift, Virginia Groomes Gift, in memory of Mary W. Groomes, Mr. and Mrs. Marshall P. Blankarn, John Bierwirth and Robert G. Goelet Gifts, The Sylmaris Collection, Gift of George Coe Graves, by exchange, Gift of Mrs. Russell Sage, by exchange, and funds from various donors, 1974",Made in,Philadelphia,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1662,https://www.wikidata.org/wiki/Q104412966,,"Metropolitan Museum of Art, New York, NY",,,
62.16,True,True,True,1674,714,The American Wing,1962,Side Chair,Side Chair,American,,,,,111,Maker,Attributed to,Samuel McIntire,1757–1811," ","McIntire, Samuel",American,1757      ,1811      ,,http://vocab.getty.edu/page/ulan/500023295,https://www.wikidata.org/wiki/Q370420,1794–99,1794,1799,"Mahogany, ebony, ash, birch, white pine",37 7/8 x 27 7/8 x 18 in. (96.2 x 70.8 x 45.7 cm),"Friends of the American Wing Fund, 1962",Made in,Salem,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1674,https://www.wikidata.org/wiki/Q29382893,,"Metropolitan Museum of Art, New York, NY",,,
68.202.1,False,True,True,1679,714,The American Wing,1968,Side Chair,Side Chair,American,,,,,1117932,Maker|Maker,Possibly from the Workshop of| ,Duncan Phyfe|Duncan Phyfe & Sons,"American (born Scotland), near Lock Fannich, Ross-Shire, Scotland 1768/1770–1854 New York|1837–1840, active New York"," | ","Phyfe, Duncan|Phyfe & Sons, D.","American, born Scotland|American",1770      |1837      ,1854      |1840      ,|,http://vocab.getty.edu/page/ulan/500082047|,https://www.wikidata.org/wiki/Q3041258|,ca. 1830,1827,1830,"Rosewood, ash, and tulip poplar",32 3/4 x 17 5/16 x 18 3/16 in. (83.2 x 44 x 46.2 cm),"Purchase, The Edgar J. Kaufmann Foundation Gift, 1968",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1679,https://www.wikidata.org/wiki/Q116372028,,"Metropolitan Museum of Art, New York, NY",,,
1983.68,False,True,True,1684,774,The American Wing,1983,Side Chair,Side Chair,American,,,,,16381,Maker,Attributed to,Pottier and Stymus Manufacturing Company,active ca. 1858–1918/19," ",Pottier and Stymus Manufacturing Company ," ",1858      ,1919      ,,http://vocab.getty.edu/page/ulan/500330539,https://www.wikidata.org/wiki/Q2106610,ca. 1875,1872,1875,"Walnut, mahogany, rosewood, cedar",37 1/8 x 18 x 18 in. (94.3 x 45.7 x 45.7 cm),"Purchase, Charlotte Pickman-Gertz Gift, 1983",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1684,https://www.wikidata.org/wiki/Q116372021,,"Metropolitan Museum of Art, New York, NY",,,
52.195.8,False,True,True,1731,713,The American Wing,1952,Side chair,Banister-back chair,American,,,,,,,,,,,,,,,,,,1715–35,1715,1735,Maple,47 1/2 x 21 x 15 3/4 in. (120.7 x 53.3 x 40 cm),"Gift of Mrs. Screven Lorillard, 1952",Possibly made in|Possibly made in,Portsmouth,,,United States|United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1731,https://www.wikidata.org/wiki/Q83560046,,"Metropolitan Museum of Art, New York, NY",,,
57.158.1,False,True,True,1737,752,The American Wing,1957,Side Chair,Side Chair,American,,,,,,,,,,,,,,,,,,1765–75,1765,1775,"Mahogany, sweet gum",38 7/8 x 24 1/4 x 22 1/4 in. (98.7 x 61.6 x 56.5 cm),"Purchase, The Sylmaris Collection, Gift of George Coe Graves, by exchange, 1957",Made in,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1737,https://www.wikidata.org/wiki/Q116371986,,"Metropolitan Museum of Art, New York, NY",,,
