Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
41.100.30,False,True,True,357687,,Drawings and Prints,1941,Book ; Ornament and Architecture,"The British architect; or, the builder's treasury of staircases...",,,,,,8789887899910676916,Author|Printer|Printer|Engraver,Written and designed by|Printed and sold by|Printed and sold by| ,Abraham Swan|Thomas Meighan|W. Meadows|Edward Rooker,"British, active 1745–68|London|London|British, London 1711–1774 London"," | | | ","Swan, Abraham|Meighan, Thomas|Meadows, W.|Rooker, Edward",British|British|British|British,1700      |1700      |1700      |1711      ,1800      |1800      |1800      |1774      ,|||,|||http://vocab.getty.edu/page/ulan/500028800,|||https://www.wikidata.org/wiki/Q5345108,1745,1745,1745,Illustrations: etching and engraving,16 × 10 3/16 × 1 in. (40.7 × 25.8 × 2.5 cm),"Bequest of W. Gedney Beatty, 1941",,,,,,,,,,,,Books|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/357687,,,"Metropolitan Museum of Art, New York, NY",Architecture,http://vocab.getty.edu/page/aat/300263552,https://www.wikidata.org/wiki/Q12271
43.26.1,False,True,True,357688,,Drawings and Prints,1943,Book ; Ornament and architecture,"The British Architect; or, the Builder's Treasury of Staircases",,,,,,87898879007753,Author|Publisher|Etcher,Written and designed by| | ,Abraham Swan|Robert Bell|John Norman,"British, active 1745–68|Philadelphia, Pennsylvania|American (born England), ca. 1748–1817 Boston, Massachusetts"," | | ","Swan, Abraham|Bell, Robert|Norman, John","British|American|American, born England",1700      |1732      |1748      ,1800      |1784      |1817      ,||,||http://vocab.getty.edu/page/ulan/500082771,||https://www.wikidata.org/wiki/Q6250628,1775,1775,1775,Book with etched Illustrations,"16 3/4 x 10 1/16 in. (42.5 x 25.5 cm)
53.682,False,True,True,358129,,Drawings and Prints,1953,Book,De humani corporis fabrica (Of the Structure of the Human Body),,,,,,88258886568825,Artist|Publisher|Author," | | ",John of Calcar (John Stephen Calcar)|Johann Oporinus|Andreas Vesalius,"Netherlandish, Calcar, Cleves 1499–1546/50 Naples (active Italy)|1536–1567|Flemish, Brussels 1514–1564 Zakynthos, Greece"," | | ","Calcar, Jan Stephen|Oporinus, Johann|Vesalius, Andreas",Netherlandish|Swiss|Flemish,1499      |1536      |1514      ,1550      |1567      |1564      ,||,http://vocab.getty.edu/page/ulan/500026055||http://vocab.getty.edu/page/ulan/500327607,https://www.wikidata.org/wiki/Q1397369||https://www.wikidata.org/wiki/Q170267,1555,1555,1555,Woodcut,"Overall: 15 9/16 x 10 1/2 x 3 1/4 in. (39.5 x 26.7 x 8.3 cm)
26.71.4,False,True,True,358276,,Drawings and Prints,1926,Book,De Re Militari (On the Military Arts),,,,,,883798837816379,Publisher|Author|Artist," | | ",Johannes ex Verona|Roberto Valturio|Matteo de' Pasti,"Italian, active Verona ca. 1472|Italian, Rimini 1405–1475 Rimini|Italian, Verona ca. 1420–after 1467 Rimini"," | | ","Johannes ex Verona|Valturio, Roberto|Pasti, Matteo de'",Italian|Italian|Italian,1420      |1405      |1420      ,1520      |1475      |1467      ,||,|(not assigned)|http://vocab.getty.edu/page/ulan/500115432,|https://www.wikidata.org/wiki/Q651013|,1472,1472,1472,Printed book with 82 woodcut illustrations impressed by hand; illuminated initials and descriptive captions also added by hand,13 x 9 7/16 x 1 7/8 in. (33 x 24 x 4.8 cm),"Harris Brisbane Dick Fund, 1926",,Verona,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/358276,,,"Metropolitan Museum of Art, New York, NY",Military Equipment|Dragons," |http://vocab.getty.edu/page/aat/300375726",https://www.wikidata.org/wiki/Q18643213|https://www.wikidata.org/wiki/Q7559
22.73.3-119,False,True,True,358295,,Drawings and Prints,1922,Print,St. Jerome in the Wilderness,,,,,,162552940398840,Artist|Artist|Artist,After|Attributed to|Attributed to,Titian (Tiziano Vecellio)|Giovanni Britto|Nicolò Boldrini,"Italian, Pieve di Cadore ca. 1485/90?–1576 Venice|German, 1531–1550|Italian, Vicenza ca. 1500–after 1566 Venice"," | | ","Titian (Tiziano Vecellio)|Britto, Giovanni|Boldrini, Nicolò",Italian|German|Italian,1485      |1531      |1500      ,1576      |1550      |1566      ,||,http://vocab.getty.edu/page/ulan/500031075|http://vocab.getty.edu/page/ulan/500020520|http://vocab.getty.edu/page/ulan/500000333,https://www.wikidata.org/wiki/Q47551|https://www.wikidata.org/wiki/Q16559850|https://www.wikidata.org/wiki/Q970010,mid-16th century,1547,1566,Woodcut,Sheet: 15 1/4 × 21 5/16 in. (38.8 × 54.1 cm),"Rogers Fund, 1922",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/358295,,,"Metropolitan Museum of Art, New York, NY",Landscapes|Saint Jerome|Lions,http://vocab.getty.edu/page/aat/300132294|http://vocab.getty.edu/page/ulan/500060933|http://vocab.getty.edu/page/aat/300310388,https://www.wikidata.org/wiki/Q191163|https://www.wikidata.org/wiki/Q44248|https://www.wikidata.org/wiki/Q140
26.72.13,False,True,True,358310,,Drawings and Prints,1926,Print,St. Jerome in the Wilderness (S. Hieronymus in Deserto) from The Large Landscapes,,,,,,16172872154721557311,Artist|Artist|Artist|Publisher,After| | | ,Pieter Bruegel the Elder|Johannes van Doetecum I|Lucas van Doetecum|Hieronymus Cock,"Netherlandish, Breda (?) ca. 1525–1569 Brussels|Netherlandish, 1528/32–1605|Netherlandish, active 1554–72, died before 1589|Netherlandish, Antwerp ca. 1510–1570 Antwerp"," | | | ","Bruegel, Pieter, the Elder|Doetecum, Johannes van I|Doetecum, Lucas van|Cock, Hieronymus",Netherlandish|Netherlandish|Netherlandish|Netherlandish,1525      |1528      |1554      |1510      ,1569      |1605      |1589      |1570      ,|||,http://vocab.getty.edu/page/ulan/500013247|http://vocab.getty.edu/page/ulan/500055787|http://vocab.getty.edu/page/ulan/500055788|http://vocab.getty.edu/page/ulan/500005618,https://www.wikidata.org/wiki/Q43270|https://www.wikidata.org/wiki/Q18129846|https://www.wikidata.org/wiki/Q18516699|https://www.wikidata.org/wiki/Q640361,ca. 1555–56,1550,1560,Etching and engraving,Sheet: 12 3/16 x 16 13/16 in. (31 x 42.8 cm),"Harris Brisbane Dick Fund, 1926",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/358310,,,"Metropolitan Museum of Art, New York, NY",Landscapes|Saint Jerome|Lions,http://vocab.getty.edu/page/aat/300132294|http://vocab.getty.edu/page/ulan/500060933|http://vocab.getty.edu/page/aat/300310388,https://www.wikidata.org/wiki/Q191163|https://www.wikidata.org/wiki/Q44248|https://www.wikidata.org/wiki/Q140
21.36.146,False,True,True,358319,,Drawings and Prints,1921,Book Ornament & Architecture,"De gli habiti antichi et moderni di diversi parti del mondo, libri due ...",,,,,,945491626131626138841,Artist|Artist|Author|Publisher," |After| | ",Christoph Krieger|Cesare Vecellio|Cesare Vecellio|Damiano Zenaro,"German, born Nuremberg, died Venice, ca. 1590|Italian, Pieve di Cadore 1521–1601 Venice|Italian, Pieve di Cadore 1521–1601 Venice|active Venice, 1563–ca. 1604"," | | |, Venice","Krieger, Christoph of Nuremberg|Vecellio, Cesare|Vecellio, Cesare|Zenaro, Damiano",German|Italian|Italian|Italian,1500      |1521      |1521      |1563      ,1590      |1601      |1601      |1604      ,|||,|http://vocab.getty.edu/page/ulan/500018010|http://vocab.getty.edu/page/ulan/500018010|(not assigned),|https://www.wikidata.org/wiki/Q549400|https://www.wikidata.org/wiki/Q549400|https://www.wikidata.org/wiki/Q26703750,1590,1590,1590,Woodcut,Overall: 6 9/16 x 4 15/16 x 2 1/16 in. (16.7 x 12.5 x 5.2 cm),"Rogers Fund, 1906, transferred from the Library",,,,,,,,,,,,Books|Ephemera,,http://www.metmuseum.org/art/collection/search/358319,,,"Metropolitan Museum of Art, New York, NY",Clothing,http://vocab.getty.edu/page/aat/300266639,https://www.wikidata.org/wiki/Q11460
48.165,False,True,True,358343,,Drawings and Prints,1948,Book,Cento Favole Morali (100 moral fables),,,,,,80679806798068,Author|Artist|Publisher," |Illustrations designed by| ",Giovanni Maria Verdizotti|Giovanni Maria Verdizotti|Giordano Ziletti,"Italian, Venice 1525–1600 Venice|Italian, Venice 1525–1600 Venice|Italian, active 1549–83"," | | ","Verdizotti, Giovanni Maria|Verdizotti, Giovanni Maria|Ziletti, Giordano",Italian|Italian|Italian,1525      |1525      |1549      ,1600      |1600      |1583      ,||,http://vocab.getty.edu/page/ulan/500012500|http://vocab.getty.edu/page/ulan/500012500|,https://www.wikidata.org/wiki/Q4107591|https://www.wikidata.org/wiki/Q4107591|,1570,1570,1570,Printed book with woodcut illustrations,8 7/16 x 6 5/16 x 11/16 in. (21.4 x 16 x 1.7 cm),"Gift of Philip Hofer, 1948",,,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/358343,,,"Metropolitan Museum of Art, New York, NY",Birds|Serpents,http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300417734,https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q2102
51.501.6469,False,True,True,358365,,Drawings and Prints,1951,Print,Portrait of Rudolph II,,,,,,7360616156,Artist|Artist," |After",Aegidius Sadeler II|Hans von Aachen,"Netherlandish, Antwerp 1568–1629 Prague|German, Cologne 1552–1616 Prague"," | ","Sadeler, Aegidius, II|Aachen, Hans von",Netherlandish|German,1568      |1552      ,1629      |1616      ,|,http://vocab.getty.edu/page/ulan/500016165|http://vocab.getty.edu/page/ulan/500127905,https://www.wikidata.org/wiki/Q1297898|https://www.wikidata.org/wiki/Q152835,1603,1603,1603,Engraving,Sheet: 13 1/4 x 9 7/8 in. (33.7 x 25.1 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1951",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/358365,,,"Metropolitan Museum of Art, New York, NY",Men|Eagles|Portraits,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300250049|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q2092297|https://www.wikidata.org/wiki/Q134307
19.29.2,False,True,True,358801,,Drawings and Prints,1919,Print,Mary Cassatt at the Louvre: The Etruscan Gallery,,,,,,16182116175,Artist|Sitter," | ",Edgar Degas|Mary Cassatt,"French, Paris 1834–1917 Paris|American, Pittsburgh, Pennsylvania 1844–1926 Le Mesnil-Théribus, Oise"," |and her sister, Lydia","Degas, Edgar|Cassatt, Mary",French|American,1834      |1844      ,1917      |1926      ,|Female,http://vocab.getty.edu/page/ulan/500115194|http://vocab.getty.edu/page/ulan/500012368,https://www.wikidata.org/wiki/Q46373|https://www.wikidata.org/wiki/Q173223,1879–80,1879,1880,"Soft-ground, drypoint, aquatint, and etching; third state of nine","Plate: 10 9/16 x 9 1/8 in. (26.8 x 23.2 cm)
2003.29,False,True,True,359215,,Drawings and Prints,2003,Drawing,Head of a Bearded Man,,,,,,10442,Artist," ","Anonymous, Bohemian, 14th century"," "," ","Anonymous, Bohemian, 14th century",Bohemian,1300      ,1399      ,,,,1360–80,1360,1380,"Pen and gray-brown ink, brush with gray-black and brown wash, traces of white gouache highlights.",Sheet: 4 7/16 x 3 3/8 in. (11.3 x 8.5 cm),"Purchase, Gift of Dr. Mortimer D. Sackler, Theresa Sackler and Family, 2003",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/359215,,,"Metropolitan Museum of Art, New York, NY",Men,http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q8441
1991.1073.145(1–107),False,True,True,359356,,Drawings and Prints,1991,Book Collection Ornament & Architecture,Le Fontane di Roma (parts 1-4),,,,,,86867690408818,Publisher|Etcher|Etcher," |Views in parts 1 and 2 drawn and etched by|Views in parts 3 and 4 drawn and etched by",Giovanni Giacomo De Rossi|Giovanni Battista Falda|Giovanni Francesco Venturini,"Italian, Rome 1627–1691 Rome|Italian, Valduggia 1643–1678 Rome|Italian, active ca. 1650–1700"," | | ","Rossi, Giovanni Giacomo De|Falda, Giovanni Battista|Venturini, Giovanni Francesco",Italian|Italian|Italian,1627      |1643      |1650      ,1691      |1678      |1700      ,||,http://vocab.getty.edu/page/ulan/500353716|http://vocab.getty.edu/page/ulan/500019267|http://vocab.getty.edu/page/ulan/500005080,https://www.wikidata.org/wiki/Q12631500|https://www.wikidata.org/wiki/Q3766656|https://www.wikidata.org/wiki/Q5563849,1691 or after,1691,1691,Etching,Overall: 11 x 15 7/8 x 1 5/16 in. (27.9 x 40.4 x 3.4 cm),"Gift of D. W. Langton, transferred from the Library",,,,,,,,,,,,Books|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/359356,,,"Metropolitan Museum of Art, New York, NY",Architecture|Gardens,http://vocab.getty.edu/page/aat/300263552|http://vocab.getty.edu/page/aat/300008090,https://www.wikidata.org/wiki/Q12271|https://www.wikidata.org/wiki/Q1107656
2003.85,False,True,True,359448,,Drawings and Prints,2003,Drawing,The Entrance of Charlemagne into Pavia,,,,,,7605,Artist," ",Julius Schnorr von Carolsfeld,"German, Leipzig 1794–1872 Dresden"," ","Carolsfeld, Julius Schnorr von",German,1794      ,1872      ,,http://vocab.getty.edu/page/ulan/500002319,https://www.wikidata.org/wiki/Q703458,1840,1840,1840,"Black chalk, graphite, brown watercolor washes, red chalk, red chalk washes.  Squared for transfer in graphite with numerical indications of vertical divisions at the lower edge",sheet: 18 1/4 x 25 3/4 in. (46.3 x 65.4 cm),"Purchase, Anna-Maria and Stephen Kellen Foundation Gift, 2003",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/359448,https://www.wikidata.org/wiki/Q96319241,,"Metropolitan Museum of Art, New York, NY",Children|Men|Women|Horses|Soldiers|Shields|Spears,http://vocab.getty.edu/page/aat/300025945|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300185678|http://vocab.getty.edu/page/aat/300036869|http://vocab.getty.edu/page/aat/300037038,https://www.wikidata.org/wiki/Q7569|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q726|https://www.wikidata.org/wiki/Q4991371|https://www.wikidata.org/wiki/Q131559|https://www.wikidata.org/wiki/Q44475
2003.101,False,True,True,359594,,Drawings and Prints,2003,Drawing,Landscape with Wine Harvest,,,,,,16178,Artist," ",Pietro da Cortona (Pietro Berrettini),"Italian, Cortona 1596–1669 Rome"," ","Cortona, Pietro da (Pietro Berrettini)",Italian,1596      ,1669      ,,http://vocab.getty.edu/page/ulan/500115154,https://www.wikidata.org/wiki/Q333323,ca. 1630,1625,1635,"Brush and gray wash, touches of pen and brown ink, over traces of black chalk, with an illusionistic frame drawn in yellow and brown wash",Sheet: 14 9/16 x 19 5/16 in. (37 x 49 cm),"Purchase, 2002 Benefit Fund, 2003",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/359594,,,"Metropolitan Museum of Art, New York, NY",Wine|Landscapes|Barrels,http://vocab.getty.edu/page/aat/300379442|http://vocab.getty.edu/page/aat/300132294|http://vocab.getty.edu/page/aat/300194514,https://www.wikidata.org/wiki/Q282|https://www.wikidata.org/wiki/Q191163|https://www.wikidata.org/wiki/Q10289
30.54.72,False,True,True,359624,,Drawings and Prints,1930,Print,Oliver Cromwell,,,,,,8996616617,Artist|Artist," |after",Jan van de Velde IV|Robert Walker,"Dutch, Utrecht before 1610–1686 Haarlem|British, 1595/1610?–?1659"," | ","Velde, Jan van de, IV|Walker, Robert",Dutch|British,1610      |1595      ,1686      |1659      ,|,http://vocab.getty.edu/page/ulan/500019100|http://vocab.getty.edu/page/ulan/500346586,https://www.wikidata.org/wiki/Q51483403|,after 1653,1653,1670,"Engraving, aquatint, and roulette; second state",Sheet: 16 x 12 in. (40.6 x 30.5 cm),"Harris Brisbane Dick Fund, 1930",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/359624,,,"Metropolitan Museum of Art, New York, NY",Men|Portraits,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307
33.52.32,False,True,True,359770,,Drawings and Prints,1933,Print,The Great Lansquenet or Standard Bearer,,,,,,1818559023,Artist|Artist," |after","Prince Rupert of the Rhine|Pietro Muttoni, called della Vecchia","Bohemian, Prague 1619–1682 Westminster|Italian, Venice 1602/3–1678 Venice"," | ","Rupert of the Rhine, Prince|Muttoni, called della Vecchia Pietro",Bohemian|Italian,1619      |1602      ,1682      |1678      ,|,http://vocab.getty.edu/page/ulan/500016189|http://vocab.getty.edu/page/ulan/500012994,https://www.wikidata.org/wiki/Q76930|https://www.wikidata.org/wiki/Q1529806,1658,1658,1658,Mezzotint; first state of two,Sheet: 11 x 7 7/8 in. (27.9 x 20 cm),"Harris Brisbane Dick Fund, 1933",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/359770,,,"Metropolitan Museum of Art, New York, NY",Men,http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q8441
53.600.566,False,True,True,359909,,Drawings and Prints,1953,Print,An Academy by Lamplight,,,,,,16619916620116620,Artist|Publisher|Engraver,After|Published London by| ,Joseph Wright (Wright of Derby)|William Pether|William Pether,"British, Derby 1734–1797 Derby|British, Carlisle ca. 1738–1821 Bristol|British, Carlisle ca. 1738–1821 Bristol"," | | ","Wright, Joseph (Wright of Derby)|Pether, William|Pether, William",British|British|British,1734      |1733      |1733      ,1797      |1821      |1821      ,||,http://vocab.getty.edu/page/ulan/500029777|http://vocab.getty.edu/page/ulan/500018007|http://vocab.getty.edu/page/ulan/500018007,https://www.wikidata.org/wiki/Q214062|https://www.wikidata.org/wiki/Q3568880|https://www.wikidata.org/wiki/Q3568880,"February 20, 1772",1772,1772,Mezzotint; second state of two,"plate: 22 7/8 x 17 7/8 in. (58.1 x 45.4 cm)
30.22(34.34),False,True,True,359942,,Drawings and Prints,1930,Print,"Decoration for a Masked Ball at Versailles, on the Occasion of the Marriage of Louis, Dauphin of France, and Maria Theresa, Infanta of Spain (Bal masqué donné par le roi, dans la grande galerie de Versailles, pour le mariage de Dauphin, 1745)",,,,,,16553816554,Artist|Artist," |after",Charles Nicolas Cochin I|Charles Nicolas Cochin II,"French, Paris 1688–1754 Paris|French, Paris 1715–1790 Paris"," | ","Cochin, Charles Nicolas, I|Cochin, Charles Nicolas, II",French|French,1688      |1715      ,1754      |1790      ,|,http://vocab.getty.edu/page/ulan/500008603|http://vocab.getty.edu/page/ulan/500021138,https://www.wikidata.org/wiki/Q2958262|https://www.wikidata.org/wiki/Q2408093,"1764, reprinted ca. 1860",1764,1860,Etching with engraving,18 3/4 x 30 1/4 in. (47.6 x 76.8 cm),"Harris Brisbane Dick Fund, 1930",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/359942,,,"Metropolitan Museum of Art, New York, NY",Party|Crowd,http://vocab.getty.edu/page/aat/300069614| ,https://www.wikidata.org/wiki/Q200538|https://www.wikidata.org/wiki/Q13430821
49.95.2202,False,True,True,360065,,Drawings and Prints,1949,Print,"Mechti Kuli Beg, Persian Ambassador to Prague",,,,,,7360,Artist," ",Aegidius Sadeler II,"Netherlandish, Antwerp 1568–1629 Prague"," ","Sadeler, Aegidius, II",Netherlandish,1568      ,1629      ,,http://vocab.getty.edu/page/ulan/500016165,https://www.wikidata.org/wiki/Q1297898,1605,1605,1605,Engraving,Sheet: 10 1/8 x 7 7/16 in. (25.7 x 18.9 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1949",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/360065,,,"Metropolitan Museum of Art, New York, NY",Falcons|Men|Portraits,http://vocab.getty.edu/page/aat/300250051|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q43489|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307
50.616.15,False,True,True,360120,,Drawings and Prints,1950,Print,Headquarters of the Société des Aquafortistes,,,,,,86249782149553,Artist|Publisher|Printer," | | ","Adolphe Martial Potémont, called Martial|Cadart & Luquet|Auguste Delâtre","French, Paris 1828–1883 Paris|French, active 1863–67|French, Paris 1822–1907 Paris"," | | ","Potémont, called Martial, Adolphe Martial|Cadart & Luquet|Delâtre, Auguste",French|French|French,1828      |1863      |1822      ,1883      |1867      |1907      ,||,http://vocab.getty.edu/page/ulan/500026628||http://vocab.getty.edu/page/ulan/500026951,https://www.wikidata.org/wiki/Q2824872||https://www.wikidata.org/wiki/Q15969950,1864,1864,1864,Etching,"Plate: 11 7/16 × 15 1/2 in. (29 × 39.3 cm)
67.797.6,False,True,True,360132,,Drawings and Prints,1967,Print Ornament & Architecture,A View of the Vestibule of Santa Maria Maggiore at Rome,,,,,,7804,Artist and publisher," ",Georges François Blondel,"French, 1730–after 1792"," ","Blondel, Georges François",French,1730      ,1792      ,,http://vocab.getty.edu/page/ulan/500033577,https://www.wikidata.org/wiki/Q55191327,1765–67,1765,1767,Mezzotint; published state,Sheet: 22 1/4 x 16 in. (56.5 x 40.6 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1967",,London,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/360132,,,"Metropolitan Museum of Art, New York, NY",Columns|Infants|Men|Women,http://vocab.getty.edu/page/aat/300001571|http://vocab.getty.edu/page/aat/300189561|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q4817|https://www.wikidata.org/wiki/Q998|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467
53.600.1892,False,True,True,360134,,Drawings and Prints,1953,Print,A Girl Singing Ballads By a Paper Lanthorn,,,,,,10068716508816619,Engraver|Publisher|Artist," | |After",James Watson|William Wynne Ryland|Henry Robert Morland,"Irish, Dublin ca. 1740–1790 London|British, baptized London 1732–1783 London|British, London (?) 1716?–1797 London"," | | ","Watson, James|Ryland, William Wynne|Morland, Henry Robert",Irish|British|British,1740      |1732      |1716      ,1790      |1783      |1797      ,||,http://vocab.getty.edu/page/ulan/500007231|http://vocab.getty.edu/page/ulan/500013243|http://vocab.getty.edu/page/ulan/500004224,https://www.wikidata.org/wiki/Q12072573|https://www.wikidata.org/wiki/Q2581132|https://www.wikidata.org/wiki/Q2540424,1767–81,1767,1781,Mezzotint; second state,sheet: 12 3/4 x 9 in. (32.4 x 22.9 cm),"Harris Brisbane Dick Fund, 1953",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/360134,,,"Metropolitan Museum of Art, New York, NY",Lanterns|Girls,http://vocab.getty.edu/page/aat/300037647|http://vocab.getty.edu/page/aat/300247581,https://www.wikidata.org/wiki/Q862454|https://www.wikidata.org/wiki/Q3031
49.95.59,False,True,True,360266,,Drawings and Prints,1949,Print,Wooded Landscape with Herdsmen and Cows,,,,,,1661949008,Artist|Publisher," |Republished by",Thomas Gainsborough|John & Josiah Boydell,"British, Sudbury 1727–1788 London|British, 1786–1804"," | ","Gainsborough, Thomas|Boydell, John & Josiah",British|British,1727      |1786      ,1788      |1804      ,|,http://vocab.getty.edu/page/ulan/500115200|(not assigned),https://www.wikidata.org/wiki/Q192720|https://www.wikidata.org/wiki/Q26879556,"August 1, 1797",1797,1797,"Aquatint (sugar-lift process), printed in brown ink",plate: 10 7/8 x 13 11/16 in. (27.6 x 34.7 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1949",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/360266,,,"Metropolitan Museum of Art, New York, NY",Cows|Landscapes,http://vocab.getty.edu/page/aat/300250120|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q830|https://www.wikidata.org/wiki/Q191163
